dataset_id,tag_name
1,csv
1,pdf
2,csv
2,rdf
2,json
2,xml
3,csv
4,csv
4,rdf
4,json
4,xml
5,zip
6,csv
6,xml
7,csv
7,rdf
7,json
7,xml
8,zip
9,csv
9,rdf
9,json
9,xml
10,xls
11,html
11,arcgis geoservices rest api
11,csv
11,zip
11,geojson
11,kml
12,csv
12,rdf
12,json
12,xml
13,xls
13,text
13,csv
14,csv
14,rdf
14,json
14,xml
16,csv
16,shp
16,geojson
17,csv
17,rdf
17,json
17,xml
18,csv
18,rdf
18,json
18,xml
19,csv
19,rdf
19,json
19,xml
21,html
21,zip
22,html
22,zip
23,csv
23,rdf
23,json
23,xml
24,xls
25,xls
26,zip
26,csv
26,esri rest
27,csv
27,rdf
27,json
27,xml
28,csv
28,rdf
28,json
28,xml
29,text
30,xml
31,csv
31,rdf
31,json
31,xml
32,csv
32,rdf
32,json
32,xml
34,csv
34,rdf
34,json
34,xml
35,html
35,zip
36,csv
36,xls
36,json
37,html
38,zip
40,text
40,xls
42,esri rest
43,csv
46,csv
46,rdf
46,json
46,xml
47,api
48,html
49,html
50,pdf
51,xls
52,csv
52,rdf
52,json
52,xml
53,csv
53,rdf
53,json
53,xml
54,xls
55,csv
55,sas
55,spss
55,pdf
55,html
56,html
56,api
57,xls
58,csv
59,zip
59,xml
59,esri rest
60,html
61,csv
61,rdf
61,json
61,xml
62,csv
62,rdf
62,json
62,xml
63,csv
63,rdf
63,json
63,xml
64,html
64,jpeg
65,csv
65,rdf
65,json
65,xml
66,csv
66,rdf
66,json
66,xml
67,html
69,xls
70,xls
71,text
71,zipped csv
72,csv
74,html
75,csv
75,rdf
75,json
75,xml
76,csv
77,xls
78,html
79,csv
79,rdf
79,json
79,xml
80,xls
81,html
82,xls
84,zip
85,csv
85,sas
85,spss
85,pdf
85,xls
87,xls
89,csv
89,rdf
89,json
89,xml
90,csv
90,rdf
90,json
90,xml
91,html
91,csv
92,xml
93,zip
95,html
96,html
96,arcgis geoservices rest api
97,html
98,html
99,zip
99,html
100,csv
100,rdf
100,json
100,xml
101,csv
101,rdf
101,json
101,xml
102,comma separated value spreadsheet
102,api
104,xml
104,html
104,arcgis geoservices rest api
104,csv
104,geojson
104,zip
104,kml
105,pdf
106,xls
107,bin
107,html
107,iso
108,zip
108,api
109,csv
109,rdf
109,json
109,xml
110,csv
110,rdf
110,json
110,xml
112,html
112,xml
114,xls
115,csv
116,wms
116,wfs
116,qgis
116,zip
116,gml
116,kml
116,json
116,csv
116,xls
116,xml
116,html
117,csv
117,rdf
117,json
117,xml
119,html
119,arcgis geoservices rest api
119,csv
119,zip
119,geojson
119,kml
119,text
119,xls
119,gpkg
119,gdb
120,csv
120,rdf
120,json
120,xml
121,html
122,csv
123,zip
124,xls
125,csv
125,rdf
125,json
125,xml
126,csv
126,rdf
126,json
126,xml
127,csv
127,rdf
127,json
127,xml
128,xlsb
128,html
130,zip
133,csv
133,rdf
133,json
133,xml
134,csv
134,sas
134,spss
134,pdf
134,html
135,html
136,zip
136,xml
136,esri rest
137,csv
137,rdf
137,json
137,xml
138,html
139,zip
139,xls
140,zip
140,xls
141,csv
141,rdf
141,json
141,xml
142,csv
142,html
142,zip
145,xls
146,html
146,csv
147,csv
148,csv
148,rdf
148,json
148,xml
149,zip
149,xml
150,pdf
150,csv
150,xls
150,zip
151,md
151,csv
151,html
152,zip
152,esri rest
153,html
154,csv
154,rdf
154,json
154,xml
155,html
155,api
156,xls
158,csv
158,rdf
158,json
158,xml
159,zip
159,pdf
161,html
162,html
163,csv
163,rdf
163,json
163,xml
164,csv
164,rdf
164,json
164,xml
165,zip
165,wms
165,csv
166,csv
166,tableau
166,xls
166,pdf
166,zip
168,xls
169,csv
169,rdf
169,json
169,xml
171,csv
171,rdf
171,json
171,xml
172,esri rest
173,csv
173,rdf
173,json
173,xml
174,csv
174,rdf
174,json
174,xml
175,csv
175,rdf
175,json
175,xml
176,api
177,csv
177,rdf
177,json
177,xml
178,xls
179,csv
179,rdf
179,json
179,xml
181,zip
181,doc
181,html
182,pdf
183,html
184,csv
184,rdf
184,json
184,xml
185,html
185,api
185,xls
187,html
188,xls
191,html
192,xls
193,esri rest
193,zip
194,zip
194,html
195,csv
195,xls
195,html
196,xls
197,xls
198,xls
199,api
200,xlsb
200,html
201,csv
201,rdf
201,json
201,xml
202,xls
203,csv
203,rdf
203,json
203,xml
204,csv
204,rdf
204,json
204,xml
205,application/html
206,html
207,html
207,xml
208,html
208,text
209,csv
209,xls
209,pdf
209,zip
210,csv
210,rdf
210,json
210,xml
211,zip
212,csv
213,zip
214,html
215,bin
215,pdf
216,api
217,csv
217,rdf
217,json
217,xml
218,html
218,pdf
218,zip
218,text
220,api
221,csv
221,rdf
221,json
221,xml
222,html
225,html
225,arcgis geoservices rest api
226,html
227,xls
227,csv
227,zip
228,html
229,html
229,arcgis geoservices rest api
229,csv
229,zip
229,geojson
229,kml
230,html
230,arcgis geoservices rest api
230,csv
230,zip
230,geojson
230,kml
231,csv
231,rdf
231,json
231,xml
232,html
232,arcgis geoservices rest api
233,xml
233,text/json
233,rss
233,json
233,html
233,arcgis geoservices rest api
233,csv
233,zip
233,geojson
233,kml
233,text
233,xls
233,gpkg
233,gdb
234,html
235,csv
235,rdf
235,json
235,xml
237,xml
237,zip
237,html
238,esri rest
238,kml
238,pdf
238,csv
240,csv
240,rdf
240,json
240,xml
241,html
241,arcgis geoservices rest api
242,csv
242,rdf
242,json
242,xml
243,csv
243,rdf
243,json
243,xml
244,csv
244,rdf
244,json
244,xml
245,csv
245,rdf
245,json
245,xml
246,tsv
246,csv
246,dta
247,csv
247,chart
247,zip
250,api
252,html
252,arcgis geoservices rest api
253,csv
253,xls
253,json
254,json
254,xls
256,html
257,csv
258,zip
258,xml
258,esri rest
259,html
260,csv
260,rdf
260,json
260,xml
261,csv
261,xls
261,html
262,html
263,csv
263,rdf
263,json
263,xml
264,csv
264,rdf
264,json
264,xml
265,html
266,csv
266,rdf
266,json
266,xml
267,csv
267,rdf
267,json
267,xml
268,text/tab
269,html
270,html
271,xls
272,csv
272,rdf
272,json
272,xml
273,html
274,zip
274,html
274,wms
274,esri rest
275,html
275,pdf
276,zip
277,csv
277,rdf
277,json
277,xml
278,csv
279,html
279,pdf
280,comma-separated values (.csv)
281,xls
282,html
282,zip
283,zip
283,xml
283,esri rest
284,csv
284,html
284,zip
285,html
286,csv
286,rdf
286,json
286,xml
287,csv
287,rdf
287,json
287,xml
288,xls
290,xls
291,html
292,zip
292,pdf
293,html
294,csv
296,xls
299,html
299,zip
299,jpeg
299,geojson
300,csv
300,rdf
300,json
300,xml
301,xls
301,pdf
301,csv
301,html
302,html
302,arcgis geoservices rest api
303,html
304,wms
304,html
304,jpeg
304,text
304,xml
304,application/geopackage+sqlite3
304,zip
305,csv
305,rdf
305,json
305,xml
306,csv
306,rdf
306,json
306,xml
307,csv
307,rdf
307,json
307,xml
308,html
308,csv
309,api
310,pdf
310,zip
311,csv
312,html
312,arcgis geoservices rest api
313,html
313,csv
314,application/unknown
314,api
315,csv
315,rdf
315,json
315,xml
316,csv
316,rdf
316,json
316,xml
317,csv
317,rdf
317,json
317,xml
318,zip
318,esri rest
318,html
319,pdf
320,zip
320,xml
322,csv
322,rdf
322,json
322,xml
324,csv
324,xls
325,html
325,arcgis geoservices rest api
325,csv
325,zip
325,geojson
325,kml
325,text
325,xls
325,gpkg
325,gdb
326,csv
326,rdf
326,json
326,xml
327,csv
327,rdf
327,json
327,xml
328,zip
329,html
329,arcgis geoservices rest api
329,csv
329,zip
329,geojson
329,kml
329,text
329,xls
329,gpkg
329,gdb
330,application/html
333,csv
333,rdf
333,json
333,xml
334,zip
335,csv
336,html
336,arcgis geoservices rest api
336,csv
336,geojson
336,zip
336,kml
337,jpeg
337,zip
337,api
337,doc
337,xml
338,csv
338,rdf
338,json
338,xml
339,html
340,pdf
340,xls
340,zip
341,csv
341,rdf
341,json
341,xml
342,xls
343,html
344,html
344,h5
345,html
346,xls
347,csv
347,rdf
347,json
347,xml
348,shp
349,html
350,html
350,arcgis geoservices rest api
350,ogc wms
350,csv
350,zip
350,geojson
350,kml
351,html
352,html
352,arcgis geoservices rest api
353,csv
354,csv
354,rdf
354,json
354,xml
355,csv
355,rdf
355,json
355,xml
356,csv
356,rdf
356,json
356,xml
357,html
357,csv
358,csv
360,html
361,html
363,csv
363,rdf
363,json
363,xml
365,html
365,pdf
365,xlsb
366,html
367,html
368,html
369,zip
370,html
370,csv
371,csv
371,rdf
371,json
371,xml
372,csv
372,rdf
372,json
372,xml
373,html
375,html
375,arcgis geoservices rest api
375,csv
375,zip
375,geojson
375,kml
375,text
375,xls
375,gpkg
375,gdb
376,csv
376,rdf
376,json
376,xml
377,csv
377,rdf
377,json
377,xml
378,csv
378,xml
379,html
379,arcgis geoservices rest api
379,csv
379,zip
379,geojson
379,kml
380,html
380,application/vnd.api+json
383,esri rest
383,wms
383,wfs
383,kml
383,pdf
384,html
384,application/vnd.lotus-organizer
384,wcs
384,wms
385,api
386,html
387,csv
388,csv
389,html
390,zip
390,csv
391,html
392,html
394,html
394,gov
394,ipynb
394,text
395,csv
395,rdf
395,json
395,xml
396,csv
396,rdf
396,json
396,xml
398,csv
398,rdf
398,json
398,xml
399,html
400,html
400,api
400,xls
401,csv
401,rdf
401,json
401,xml
402,csv
402,pdf
402,xls
402,zip
404,api
404,bin
405,csv
405,rdf
405,json
405,xml
407,html
408,xls
409,zip
410,zip
411,html
411,arcgis geoservices rest api
411,ogc wms
411,csv
411,zip
411,geojson
411,kml
412,csv
412,rdf
412,json
412,xml
413,pdf
414,csv
414,rdf
414,json
414,xml
416,csv
416,rdf
416,json
416,xml
417,html
417,csv
418,csv
418,rdf
418,json
418,xml
419,html
419,arcgis geoservices rest api
419,csv
419,geojson
419,zip
420,wms
420,wfs
420,qgis
420,zip
420,gml
420,kml
420,json
420,csv
420,xls
420,xml
420,html
421,csv
421,rdf
421,json
421,xml
422,csv
422,rdf
422,json
422,xml
423,csv
423,zip
423,xls
424,csv
424,rdf
424,json
424,xml
425,zip
426,zip
426,html
427,xml
428,xml
428,html
428,arcgis geoservices rest api
428,pdf
428,zip
428,csv
428,geojson
428,kml
430,html
430,arcgis geoservices rest api
431,zip
433,csv
433,rdf
433,json
433,xml
434,csv
434,rdf
434,json
434,xml
435,html
435,arcgis geoservices rest api
435,csv
435,zip
435,geojson
435,kml
435,text
435,xls
435,gpkg
435,gdb
436,html
436,csv
437,xls
437,zip
437,pdf
437,html
439,html
441,csv
441,rdf
441,json
441,xml
442,html
443,csv
443,rdf
443,json
443,xml
444,csv
444,rdf
444,json
444,xml
445,zip
446,csv
446,rdf
446,json
446,xml
448,xls
449,html
451,html
451,application/opensearchdescription+xml
452,zip
452,xml
452,wms
452,esri rest
453,pdf
455,zip
456,csv
456,rdf
456,json
456,xml
457,csv
459,zip
460,html
461,csv
461,rdf
461,json
461,xml
462,html
463,comma separated files in a compressed zip file
464,csv
464,rdf
464,json
464,xml
465,csv
465,rdf
465,json
465,xml
468,csv
468,rdf
468,json
468,xml
469,csv
469,rdf
469,json
469,xml
471,html
471,csv
472,html
474,csv
474,rdf
474,json
474,xml
475,csv
475,rdf
475,json
475,xsl
478,csv
478,rdf
478,json
478,xml
479,csv
479,rdf
479,json
479,xml
480,html
481,xls
482,text
483,tiff
483,text
484,html
484,arcgis geoservices rest api
484,csv
484,zip
484,geojson
484,kml
485,xml
486,csv
486,rdf
486,json
486,xml
487,xls
487,pdf
487,44
488,xml
489,html
491,wms
491,wfs
491,qgis
491,zip
491,gml
491,kml
491,json
491,csv
491,xls
491,xml
491,html
493,esri rest
494,csv
494,rdf
494,json
494,xml
495,html
495,api
496,data
496,doc
496,csv
496,pdf
496,xls
496,html
496,zip
497,html
497,arcgis geoservices rest api
497,csv
497,zip
497,geojson
497,kml
498,zip
498,xls
498,csv
498,text
500,html
501,xml
501,html
501,ogc wms
501,csv
501,zip
501,geojson
501,kml
502,csv
502,rdf
502,json
502,xml
503,csv
503,rdf
503,json
503,xml
504,html
505,csv
505,rdf
505,json
505,xml
506,html
506,api
507,csv
507,rdf
507,json
507,xml
508,csv
508,xls
509,csv
509,html
510,zip
510,xml
511,html
511,arcgis geoservices rest api
512,csv
512,rdf
512,json
512,xml
513,html
514,html
514,arcgis geoservices rest api
515,html
516,pdf
516,xls
517,csv
517,rdf
517,json
517,xml
518,gov
518,html
519,csv
519,rdf
519,json
519,xml
520,csv
520,shp
520,pdf
521,html
522,xls
524,html
525,csv
525,rdf
525,json
525,xml
526,rss
526,json
527,html
527,netcdf
527,tiff
527,pdf
527,esri rest
527,wms
528,csv
528,rdf
528,json
528,xml
530,zip
531,html
532,html
532,arcgis geoservices rest api
532,csv
532,zip
532,geojson
532,kml
532,text
532,xls
532,gpkg
532,gdb
533,xls
534,zip
534,xml
534,pdf
535,csv
536,csv
536,rdf
536,json
536,xml
537,pdf
537,xls
537,bin
538,zip
538,xml
538,esri rest
539,xls
541,html
541,pdf
542,bin
542,html
542,iso
543,csv
543,shp
543,geojson
543,api
543,html
544,csv
544,rdf
544,json
544,xml
545,csv
545,rdf
545,json
545,xml
546,csv
546,rdf
546,json
546,xml
547,pdf
547,html
548,xml
548,html
548,arcgis geoservices rest api
548,pdf
548,zip
548,csv
548,geojson
548,kml
549,application/vnd.lotus-organizer
549,wfs
549,wms
550,html
550,json
550,csv
550,zip
550,application/vnd.geo+json
550,kml
550,text
550,xls
550,application/geopackage+sqlite3
551,html
551,xls
551,pdf
552,html
553,html
554,zip
554,xml
554,esri rest
555,html
556,pdf
556,csv
556,zip
556,text
556,jpeg
558,xls
559,csv
559,rdf
559,json
559,xml
561,api
563,html web page
565,zip
566,zip
566,pdf
566,xls
567,csv
567,rdf
567,json
567,xml
568,xls
568,csv
569,csv
569,rdf
569,json
569,xml
570,text
571,csv
571,rdf
571,json
571,xml
572,csv
572,rdf
572,json
572,xml
573,xls
574,csv
574,rdf
574,json
574,xml
575,csv
575,rdf
575,json
575,xml
576,wms
576,wfs
576,qgis
576,zip
576,gml
576,kml
576,json
576,csv
576,xls
576,xml
576,html
577,csv
578,zip
578,xml
578,pdf
579,html
579,arcgis geoservices rest api
580,csv
580,pdf
580,xls
580,zip
581,zip
583,xml
583,html
583,arcgis geoservices rest api
583,csv
583,geojson
583,zip
583,kml
584,html
585,html
586,zip
586,pdf
586,html
587,html
587,csv
588,csv
588,rdf
588,json
588,xml
589,html
590,csv
590,rdf
590,json
590,xml
591,csv
591,zip
593,html
594,xml
595,zip
596,api
597,csv
597,rdf
597,json
597,xml
600,csv
600,rdf
600,json
600,xml
601,text
601,bin
601,text/x-web-markdown
603,html
604,csv
608,zip
609,csv
610,html
610,pdf
610,zip
610,gz
612,api
612,xls
613,xls
614,csv
614,rdf
614,json
614,xml
615,zip
615,xml
615,esri rest
616,api
616,xml
617,html
618,html
621,html
621,arcgis geoservices rest api
621,csv
621,zip
621,geojson
621,kml
622,csv
623,html
623,csv
623,shp
624,html
624,csv
626,html
628,csv
628,rdf
628,json
628,xml
629,csv
629,rdf
629,json
629,xml
630,png
630,html
630,bin
630,pdf
630,iso
632,api
633,html
633,api
633,pdf
634,csv
634,rdf
634,json
634,xml
635,csv
635,rdf
635,json
635,xml
636,tiff
636,shp
636,api
636,jpeg
636,html
636,ecw
637,csv
637,text
637,xml
638,html
638,pdf
639,html
639,application/vnd.api+json
640,text/xls
641,html
641,arcgis geoservices rest api
642,html
643,wms
643,wfs
643,qgis
643,zip
643,gml
643,kml
643,json
643,csv
643,xls
643,xml
643,html
645,html
646,xls
647,zip
647,pdf
648,html
649,xml
650,html
650,csv
651,csv
651,rdf
651,json
651,xml
652,xml
653,pdf
653,jpeg
653,xls
653,csv
653,html
654,zip
654,csv
654,xls
655,html
656,html
657,zip
657,xml
657,esri rest
658,csv
658,rdf
658,json
658,xml
659,zip
659,xml
659,esri rest
660,xls
661,zip
662,html
663,csv
663,rdf
663,json
663,xml
664,xls
665,pdf
666,zip
666,xml
666,esri rest
667,html
667,xls
669,html
670,zip
670,xml
670,esri rest
671,text
672,html
673,csv
673,rdf
673,json
673,xml
674,html
676,csv
677,xls
679,xls
679,html
679,zip
679,csv
679,xslx
680,csv
680,html
680,application/vnd.google-apps.document
680,pdf
680,zip
681,zip
682,html
682,wms
683,api
685,zip
686,csv
686,rdf
686,json
686,xml
687,data explorer
688,csv
688,rdf
688,json
688,xml
689,html
690,text
690,html
692,csv
692,rdf
692,json
692,xml
693,csv
693,rdf
693,json
693,xml
695,api
696,csv
696,rdf
696,json
696,xml
697,kml
697,wms
697,esri rest
697,zip
697,html
697,pdf
698,csv
698,rdf
698,json
698,xml
699,xls
700,html
702,html
703,csv
703,rdf
703,json
703,xml
705,csv
706,html
706,arcgis geoservices rest api
706,csv
706,zip
706,geojson
706,kml
706,text
706,xls
706,gpkg
706,gdb
707,xml
708,csv
708,rdf
708,json
708,xml
710,api
711,html
712,csv
712,zip
713,html
713,json
713,csv
713,zip
713,application/vnd.geo+json
713,kml
713,text
713,xls
713,application/geopackage+sqlite3
714,xls
715,html
715,xml
715,wms
715,esri rest
715,pdf
717,csv
717,rdf
717,json
717,xml
718,xls
719,csv
719,rdf
719,json
719,xml
720,html
721,csv
722,zip
722,kml
722,xml
722,arcgis geoservices rest api
722,csv
722,html
722,geojson
724,api
725,html
726,html
727,csv
727,html
727,pdf
727,zip
728,csv
728,xls
728,json
728,api
729,csv
729,xls
729,text
730,html
730,json
730,csv
730,zip
730,application/vnd.geo+json
730,kml
730,text
730,xls
730,application/geopackage+sqlite3
731,html
731,pdf
732,xls
732,text
733,html
733,application/vnd.lotus-organizer
733,wcs
733,wms
734,xls
735,zip
735,xml
735,esri rest
737,csv
737,rdf
737,json
737,xml
738,csv
738,rdf
738,json
738,xml
740,html
740,arcgis geoservices rest api
741,bin
741,pdf
741,iso
742,html
742,arcgis geoservices rest api
742,ogc wms
742,csv
742,zip
742,geojson
742,kml
743,csv
743,rdf
743,json
743,xml
745,csv
745,rdf
745,json
745,xml
746,xml
746,html
